latitude,longitude,bunrui
32.81697,130.70209,林野庁森林管理局
34.702252,135.518581,林野庁森林管理局
33.560552,133.528728,林野庁森林管理局
36.63715,138.200122,林野庁森林管理局
43.062706,141.303386,林野庁森林管理局
39.713135,140.121066,林野庁森林管理局
34.186153,131.470499,地方自治体
35.85736,139.649,地方自治体
34.658264,136.371529,地方自治体
34.308235,135.529141,地方自治体
33.657167,132.900231,地方自治体
35.555468,136.91795,地方自治体
32.430172,131.429606,地方自治体
36.62692,137.23674,地方自治体
35.06004,134.112196,地方自治体
36.576922,139.894578,地方自治体
33.511196,133.268891,組合関連
36.247335,137.165708,組合関連
35.73711,136.951622,組合関連
35.36603,133.176241,組合関連
36.152854,137.237172,組合関連
35.450535,137.413108,組合関連
35.549565,136.912148,組合関連
35.63693,136.614906,組合関連
35.773237,137.287857,組合関連
35.300074,137.50177,組合関連
35.340488,136.490838,組合関連
36.63982,136.663044,組合関連
31.595311,130.556353,組合関連
34.976937,138.383024,組合関連
35.066656,134.742757,組合関連
36.008278,140.131545,財団法人、研究機関、大学等
35.878182,140.02504,財団法人、研究機関、大学等
34.386182,132.452658,財団法人、研究機関、大学等
35.030502,135.78434,財団法人、研究機関、大学等
35.706569,139.74697,財団法人、研究機関、大学等
35.620045,139.381383,財団法人、研究機関、大学等
35.535941,139.701272,財団法人、研究機関、大学等
35.687341,139.733907,財団法人、研究機関、大学等
35.061555,133.974728,財団法人、研究機関、大学等
36.110819,140.099932,財団法人、研究機関、大学等
35.785221,139.399473,財団法人、研究機関、大学等
35.714157,139.761903,財団法人、研究機関、大学等
38.961857,139.932532,民間企業
35.608074,137.610344,民間企業
35.677324,139.734396,民間企業
35.804315,140.119219,民間企業
34.465928,132.471902,民間企業
35.052387,137.158116,民間企業
-3.444345,104.044929,民間企業
37.885674,139.032454,民間企業
31.587179,130.559075,民間企業
34.084167,134.564875,民間企業
34.38982,132.459876,民間企業
34.699901,135.519791,民間企業
35.889213,139.453983,民間企業
39.704351,141.135319,民間企業
38.264941,140.912337,民間企業
35.698622,139.766679,民間企業
35.090738,137.114907,民間企業
34.717928,135.332196,民間企業
34.45906,136.725195,その他
